"","X.1","Publication.Type","Authors","Book.Authors","Book.Editors","Book.Group.Authors","Author.Full.Names","Book.Author.Full.Names","Group.Authors","Article.Title","Abstract","Journal.Abbreviation","Journal.ISO.Abbreviation","Publication.Date","Publication.Year","Volume","Issue","Part.Number","DOI","X","DOI_2part"
"973",973,"J","Savary, R; Masclaux, FG; Wyss, T; Droh, G; Corella, JC; Machado, AP; Morton, JB; Sanders, IR",NA,NA,NA,"Savary, Romain; Masclaux, Frederic G.; Wyss, Tania; Droh, Germain; Corella, Joaquim Cruz; Machado, Ana Paula; Morton, Joseph B.; Sanders, Ian R.",NA,"","A population genomics approach shows widespread geographical distribution of cryptic genomic forms of the symbiotic fungus Rhizophagus irregularis","Arbuscular mycorrhizal fungi (AMF; phylum Gomeromycota) associate with plants forming one of the most successful microbe-plant associations. The fungi promote plant diversity and have a potentially important role in global agriculture. Plant growth depends on both inter-and intra-specific variation in AMF. It was recently reported that an unusually large number of AMF taxa have an intercontinental distribution, suggesting long-distance gene flow for many AMF species, facilitated by either long-distance natural dispersal mechanisms or human-assisted dispersal. However, the intercontinental distribution of AMF species has been questioned because the use of very low-resolution markers may be unsuitable to detect genetic differences among geographically separated AMF, as seen with some other fungi. This has been untestable because of the lack of population genomic data, with high resolution, for any AMF taxa. Here we use phylogenetics and population genomics to test for intra-specific variation in Rhizophagus irregularis, an AMF species for which genome sequence information already exists. We used ddRAD sequencing to obtain thousands of markers distributed across the genomes of 81 R. irregularis isolates and related species. Based on 6 888 variable positions, we observed significant genetic divergence into four main genetic groups within R. irregularis, highlighting that previous studies have not captured underlying genetic variation. Despite considerable genetic divergence, surprisingly, the variation could not be explained by geographical origin, thus also supporting the hypothesis for at least one AMF species of widely dispersed AMF genotypes at an intercontinental scale. Such information is crucial for understanding AMF ecology, and how these fungi can be used in an environmentally safe way in distant locations.",NA,NA,"JAN",2018,12,"1",NA,"10.1038/ismej.2017.153",NA,"ismej.2017.153"
"993",993,"J","Larmer, SG; Sargolzaei, M; Brito, LF; Ventura, RV; Schenkel, FS",NA,NA,NA,"Larmer, Steven G.; Sargolzaei, Mehdi; Brito, Luiz F.; Ventura, Ricardo V.; Schenkel, Flavio S.",NA,"","Novel methods for genotype imputation to whole-genome sequence and a simple linear model to predict imputation accuracy","Background: Accurate imputation plays a major role in genomic studies of livestock industries, where the number of genotyped or sequenced animals is limited by costs. This study explored methods to create an ideal reference population for imputation to Next Generation Sequencing data in cattle. Methods: Methods for clustering of animals for imputation were explored, using 1000 Bull Genomes Project sequence data on 1146 animals from a variety of beef and dairy breeds. Imputation from 50 K to 777 K was first carried out to choose an ideal clustering method, using ADMIXTURE or PLINK clustering algorithms with either genotypes or reconstructed haplotypes. Results: Due to efficiency, accuracy and ease of use, clustering with PLINK using haplotypes as quasi-genotypes was chosen as the most advantageous grouping method. It was found that using a clustered population slightly decreased computing time, while maintaining accuracy across the population. Although overall accuracy remained the same, a slight increase in accuracy was observed for groups of animals in some breeds (primarily purebred beef cattle from breeds with fewer sequenced animals) and for other groups, primarily crossbreed animals, a slight decrease in accuracy was observed. However, it was noted that some animals in each breed were poorly imputed across all methods. When imputed sequences were included in the reference population to aid imputation of poorly imputed animals, a small increase in overall accuracy was observed for nearly every individual in the population. Two models were created to predict imputation accuracy, a complete model using all information available including Euclidean distances from genotypes and haplotypes, pedigree information, and clustering groups and a simple model using only breed and an Euclidean distance matrix as predictors. Both models were successful in predicting imputation accuracy, with correlations between predicted and true imputation accuracy as measured by concordance rate of 0.87 and 0.83, respectively. Conclusions: A clustering methodology can be very useful to subgroup cattle for efficient genotype imputation. In addition, accuracy of genotype imputation from medium to high-density Single Nucleotide Polymorphisms (SNP) chip panels to whole-genome sequence can be predicted well using a simple linear model defined in this study.",NA,NA,"DEC 27",2017,18,"",NA,"10.1186/s12863-017-0588-1",NA,"s12863-017-0588-1"
"1025",1025,"J","Jabbari, R; Jabbari, J; Glinge, C; Risgaard, B; Sattler, S; Winkel, BG; Terkelsen, CJ; Tilsted, HH; Jensen, LO; Hougaard, M; Haunso, S; Engstrom, T; Albert, CM; Tfelt-Hansen, J",NA,NA,NA,"Jabbari, Reza; Jabbari, Javad; Glinge, Charlotte; Risgaard, Bjarke; Sattler, Stefan; Winkel, Bo Gregers; Terkelsen, Christian Juhl; Tilsted, Hans-Henrik; Jensen, Lisette Okkels; Hougaard, Mikkel; Haunso, Stig; Engstrom, Thomas; Albert, Christine M.; Tfelt-Hansen, Jacob",NA,"","Association of common genetic variants related to atrial fibrillation and the risk of ventricular fibrillation in the setting of first ST-elevation myocardial infarction","Background: Cohort studies have revealed an increased risk for ventricular fibrillation (VF) and sudden cardiac death (SCD) in patients with atrial fibrillation (AF). In this study, we hypothesized that single nucleotide polymorphisms (SNP) previously associated with AF may be associated with the risk of VF caused by first ST-segment elevation myocardial infarction (STEMI). Methods: We investigated association of 24 AF-associated SNPs with VF in the prospectively assembled case-control study among first STEMI-patients of Danish ancestry. Results: We included 257 cases (STEMI with VF) and 537 controls (STEMI without VF). The median age at index infarction was 60 years for the cases and 61 years for the controls (p = 0.100). Compared to the control group, the case group was more likely to be male (86% vs. 75%, p = 0.001), have a history of AF (7% vs. 2%, p = 0.006) or hypercholesterolemia (39% vs. 31%, p = 0.023), and a family history of sudden death (40% vs. 25%, p < 0.001). All 24 selected SNPs have previously been associated with AF. None of the 24 SNPs were associated with the risk of VF after adjustment for age and sex under additive genetic model of inheritance in the logistic regression model. Conclusion: In this study, we found that the 24 AF-associated SNPs may not be involved in increasing the risk of VF. Larger VF cohorts and use of new next generation sequencing and epigenetic may in future identify additional AF and VF risk loci and improve our understanding of genetic pathways behind the two arrhythmias.",NA,NA,"NOV 21",2017,18,"",NA,"10.1186/s12881-017-0497-1",NA,"s12881-017-0497-1"
"1032",1032,"J","Heffernan, SM; Kilduff, LP; Erskine, RM; Day, SH; Stebbings, GK; Cook, CJ; Raleigh, SM; Bennett, MA; Wang, G; Collins, M; Pitsiladis, YP; Williams, AG",NA,NA,NA,"Heffernan, Shane M.; Kilduff, Liam P.; Erskine, Robert M.; Day, Stephen H.; Stebbings, Georgina K.; Cook, Christian J.; Raleigh, Stuart M.; Bennett, Mark A.; Wang, Guan; Collins, Malcolm; Pitsiladis, Yannis P.; Williams, Alun G.",NA,"","COL5A1 gene variants previously associated with reduced soft tissue injury risk are associated with elite athlete status in rugby","Background: Two common single nucleotide polymorphisms within the COL5A1 gene (SNPs; rs12722 C/T and rs3196378 C/A) have previously been associated with tendon and ligament pathologies. Given the high incidence of tendon and ligament injuries in elite rugby athletes, we hypothesised that both SNPs would be associated with career success. Results: In 1105 participants (RugbyGene project), comprising 460 elite rugby union (RU), 88 elite rugby league athletes and 565 non-athlete controls, DNA was collected and genotyped for the COL5A1 rs12722 and rs3196378 variants using real-time PCR. For rs12722, the injury-protective CC genotype and C allele were more common in all athletes (21% and 47%, respectively) and RU athletes (22% and 48%) than in controls (16% and 41%, P <= 0.01). For rs3196378, the CC genotype and C allele were overrepresented in all athletes (23% and 48%) and RU athletes (24% and 49%) compared with controls (16% and 41%, P <= 0.02). The CC genotype in particular was overrepresented in the back and centres (24%) compared with controls, with more than twice the odds (OR = 2.25, P = 0.006) of possessing the injury-protective CC genotype. Furthermore, when considering both SNPs simultaneously, the CC-CC SNP-SNP combination and C-C inferred allele combination were higher in all the athlete groups (>= 18% and >= 43%) compared with controls (13% and 40%; P = 0.01). However, no genotype differences were identified for either SNP when RU playing positions were compared directly with each other. Conclusion: It appears that the C alleles, CC genotypes and resulting combinations of both rs12722 and rs3196378 are beneficial for rugby athletes to achieve elite status and carriage of these variants may impart an inherited resistance against soft tissue injury, despite exposure to the high-risk environment of elite rugby. These data have implications for the management of inter-individual differences in injury risk amongst elite athletes.",NA,NA,"NOV 14",2017,18,"",NA,"10.1186/s12864-017-4187-3",NA,"s12864-017-4187-3"
"1034",1034,"J","Derks, MFL; Megens, HJ; Bosse, M; Lopes, MS; Harlizius, B; Groenen, MAM",NA,NA,NA,"Derks, Martijn F. L.; Megens, Hendrik-Jan; Bosse, Mirte; Lopes, Marcos S.; Harlizius, Barbara; Groenen, Martien A. M.",NA,"","A systematic survey to identify lethal recessive variation in highly managed pig populations","Background: Lethal recessive variation can cause prenatal death of homozygous offspring. Although usually present at low-frequency in populations, the impact on individual fitness can be substantial. Until recently, the presence of recessive embryonic lethal variation could only be measured indirectly through reduced fertility. In this study, we estimate the presence of genetic loci associated with both early and late termination of development during gestation in pigs from the wealth of genome data routinely generated by a commercial breeding company. Results: We examined three commercial pig (Sus scrofa) populations for potentially deleterious genetic variation based on 80 K SNP-chip genotypes, and estimate the effects on reproductive traits. 24,000 pigs from three populations were analyzed for missing or depletion of homozygous haplotypes. We identified 145 haplotypes (ranging from 0.5-4 Mb in size) in the genome with complete absence or depletion of homozygous animals. Thirty-five haplotypes show a negative effect on at least one of the analysed reproductive traits (total number born, number of stillborn, and number of mummified piglets). One variant in particular appeared to result in relative late termination of development of fetuses, responsible for a significant fraction of observed stillborn piglets ('mummies'), as they die mid-gestation. Moreover, we identified the BMPER gene as a likely candidate underlying this phenomenon. Conclusions: Our study shows that although lethal recessive variation is present, the frequency of these alleles is invariably low in these highly managed populations. Nevertheless, due to cumulative effects of deleterious variants, large numbers of affected offspring are produced. Furthermore, our study demonstrates the use of a large-scale commercial genetic experiment to systematically screen for 'natural knockouts' that can increase understanding of gene function.",NA,NA,"NOV 9",2017,18,"",NA,"10.1186/s12864-017-4278-1",NA,"s12864-017-4278-1"
"1056",1056,"J","Chen, BW; Cole, JW; Grond-Ginsbach, C",NA,NA,NA,"Chen, Bowang; Cole, John W.; Grond-Ginsbach, Caspar",NA,"","Departure from Hardy Weinberg Equilibrium and Genotyping Error","Objective: Departure from Hardy Weinberg Equilibrium (HWE) may occur due to a variety of causes, including purifying selection, inbreeding, population substructure, copy number variation or genotyping error. We searched for specific characteristics of HWE-departure due to genotyping error. Methods: Genotypes of a random set of genetic variants were obtained from the Exome Aggregation Consortium (ExAC) database. Variants with <80% successful genotypes or with minor allele frequency (MAF) <1% were excluded. HWE-departure (d-HWE) was considered significant at p < 10E-05 and classified as d-HWE with loss of heterozygosity (LoH d-HWE) or d-HWE with excess heterozygosity (gain of heterozygosity: GoH d-HWE). Missing genotypes, variant type (single nucleotide polymorphism (SNP) vs. insertion/deletion); MAF, standard deviation (SD) of MAF across populations (MAF-SD) and copy number variation were evaluated for association with HWE-departure. Results: The study sample comprised 3,204 genotype distributions. HWE-departure was observed in 134 variants: LoH d-HWE in 41 (1.3%), GoH d-HWE in 93 (2.9%) variants. LoH d-HWE was more likely in variants located within deletion polymorphisms (p < 0.001) and in variants with higher MAF-SD (p = 0.0077). GoH d-HWE was associated with low genotyping rate, with variants of insertion/deletion type and with high MAF (all at p < 0.001). In a sub-sample of 2,196 variants with genotyping rate >98%, LoH d-HWE was found in 29 (1.3%) variants, but no GoH d-HWE was detected. The findings of the non-random distribution of HWE-violating SNPs along the chromosome, the association with common deletion polymorphisms and indel-variant type, and the finding of excess heterozygotes in genomic regions that are prone to cross-hybridization were confirmed in a large sample of short variants from the 1,000 Genomes Project. Conclusions: We differentiated between two types of HWE-departure. GoH d-HWE was suggestive for genotyping error. LoH d-HWE, on the contrary, pointed to natural variabilities such as population substructure or common deletion polymorphisms.",NA,NA,"OCT 31",2017,8,"",NA,"10.3389/fgene.2017.00167",NA,"fgene.2017.00167"
"1057",1057,"J","Rahmatalla, SA; Arends, D; Reissmann, M; Ahmed, AS; Wimmers, K; Reyer, H; Brockmann, GA",NA,NA,NA,"Rahmatalla, Siham A.; Arends, Danny; Reissmann, Monika; Ahmed, Ammar Said; Wimmers, Klaus; Reyer, Henry; Brockmann, Gudrun A.",NA,"","Whole genome population genetics analysis of Sudanese goats identifies regions harboring genes associated with major traits","Sudan is endowed with a variety of indigenous goat breeds which are used for meat and milk production and which are well adapted to the local environment. The aim of the present study was to determine the genetic diversity and relationship within and between the four main Sudanese breeds of Nubian, Desert, Taggar and Nilotic goats. Using the 50 K SNP chip, 24 animals of each breed were genotyped. More than 96% of high quality SNPs were polymorphic with an average minor allele frequency of 0.3. In all breeds, no significant difference between observed (0.4) and expected (0.4) heterozygosity was found and the inbreeding coefficients (F-IS) did not differ from zero. F-st coefficients for the genetic distance between breeds also did not significantly deviate from zero. In addition, the analysis of molecular variance revealed that 93% of the total variance in the examined population can be explained by differences among individuals, while only 7% result from differences between the breeds. These findings provide evidence for high genetic diversity and little inbreeding within breeds on one hand, and low diversity between breeds on the other hand. Further examinations using Nei's genetic distance and STRUCTURE analysis clustered Taggar goats distinct from the other breeds. In a principal component (PC) analysis, PC1 could separate Taggar, Nilotic and a mix of Nubian and Desert goats into three groups. The SNPs that contributed strongly to PC1 showed high F-st values in Taggar goat versus the other goat breeds. PCA allowed us to identify target genomic regions which contain genes known to influence growth, development, bone formation and the immune system. The information on the genetic variability and diversity in this study confirmed that Taggar goat is genetically different from the other goat breeds in Sudan. The SNPs identified by the first principal components show high F-st values in Taggar goat and allowed to identify candidate genes which can be used in the development of breed selection programs to improve local breeds and find genetic factors contributing to the adaptation to harsh environments.",NA,NA,"OCT 23",2017,18,"",NA,"10.1186/s12863-017-0553-z",NA,"s12863-017-0553-z"
"1083",1083,"J","Zhang, TF; Gu, MF; Liu, YH; Lv, YD; Zhou, L; Lu, HY; Liang, SQ; Bao, HB; Zhao, H",NA,NA,NA,"Zhang, Tifu; Gu, Minfeng; Liu, Yuhe; Lv, Yuanda; Zhou, Ling; Lu, Haiyan; Liang, Shuaiqiang; Bao, Huabin; Zhao, Han",NA,"","Development of novel InDel markers and genetic diversity in Chenopodium quinoa through whole-genome re-sequencing","Background: Quinoa (Chenopodium quinoa Willd.) is a balanced nutritional crop, but its breeding improvement has been limited by the lack of information on its genetics and genomics. Therefore, it is necessary to obtain knowledge on genomic variation, population structure, and genetic diversity and to develop novel Insertion/Deletion (InDel) markers for quinoa by whole-genome re-sequencing. Results: We re-sequenced 11 quinoa accessions and obtained a coverage depth between approximately 7x to 23x the quinoa genome. Based on the 1453-megabase (Mb) assembly from the reference accession Riobamba, 8,441,022 filtered bi-allelic single nucleotide polymorphisms (SNPs) and 842,783 filtered InDels were identified, with an estimated SNP and InDel density of 5.81 and 0.58 per kilobase (kb). From the genomic InDel variations, 85 dimorphic InDel markers were newly developed and validated. Together with the 62 simple sequence repeat (SSR) markers reported, a total of 147 markers were used for genotyping the 129 quinoa accessions. Molecular grouping analysis showed classification into two major groups, the Andean highland (composed of the northern and southern highland subgroups) and Chilean coastal, based on combined STRUCTURE, phylogenetic tree and PCA (Principle Component Analysis) analyses. Further analysis of the genetic diversity exhibited a decreasing tendency from the Chilean coast group to the Andean highland group, and the gene flow between subgroups was more frequent than that between the two subgroups and the Chilean coastal group. The majority of the variations (approximately 70%) were found through an analysis of molecular variation (AMOVA) due to the diversity between the groups. This was congruent with the observation of a highly significant F-ST value (0.705) between the groups, demonstrating significant genetic differentiation between the Andean highland type of quinoa and the Chilean coastal type. Moreover, a core set of 16 quinoa germplasms that capture all 362 alleles was selected using a simulated annealing method. Conclusions: The large number of SNPs and InDels identified in this study demonstrated that the quinoa genome is enriched with genomic variations. Genetic population structure, genetic core germplasms and dimorphic InDel markers are useful resources for genetic analysis and quinoa breeding.",NA,NA,"SEP 5",2017,18,"",NA,"10.1186/s12864-017-4093-8",NA,"s12864-017-4093-8"
"1115",1115,"J","Schaefer, RJ; Schubert, M; Bailey, E; Bannasch, DL; Barrey, E; Bar-Gal, GK; Brem, G; Brooks, SA; Distl, O; Fries, R; Finno, CJ; Gerber, V; Haase, B; Jagannathan, V; Kalbfleisch, T; Leeb, T; Lindgren, G; Lopes, MS; Mach, N; Machado, AD; MacLeod, JN; McCoy, A; Metzger, J; Penedo, C; Polani, S; Rieder, S; Tammen, I; Tetens, J; Thaller, G; Verini-Supplizi, A; Wade, CM; Wallner, B; Orlando, L; Mickelson, JR; McCue, ME",NA,NA,NA,"Schaefer, Robert J; Schubert, Mikkel K; Bailey, Ernest K; Bannasch, Danika L; Barrey, Eric P; Bar-Gal, Gila Kahila; Brem, Gottfried J; Brooks, Samantha A; Distl, Ottmar K; Fries, Ruedi K; Finno, Carrie J; Gerber, Vinzenz K; Haase, Bianca K; Jagannathan, Vidhya K; Kalbfleisch, Ted K; Leeb, Tosso K; Lindgren, Gabriella K; Lopes, Maria Susana; Mach, Nuria K; Machado, Artur daCamara; MacLeod, James N; McCoy, Annette K; Metzger, Julia K; Penedo, Cecilia K; Polani, Sagi K; Rieder, Stefan K; Tammen, Imke K; Tetens, Jens K; Thaller, Georg P; Verini-Supplizi, Andrea P; Wade, Claire M; Wallner, Barbara T; Orlando, Ludovic S; Mickelson, James R; McCue, Molly E",NA,"","Developing a 670k genotyping array to tag similar to 2M SNPs across 24 horse breeds","Background: To date, genome-scale analyses in the domestic horse have been limited by suboptimal single nucleotide polymorphism (SNP) density and uneven genomic coverage of the current SNP genotyping arrays. The recent availability of whole genome sequences has created the opportunity to develop a next generation, high-density equine SNP array. Results: Using whole genome sequence from 153 individuals representing 24 distinct breeds collated by the equine genomics community, we cataloged over 23 million de novo discovered genetic variants. Leveraging genotype data from individuals with both whole genome sequence, and genotypes from lower-density, legacy SNP arrays, a subset of similar to 5 million high-quality, high-density array candidate SNPs were selected based on breed representation and uniform spacing across the genome. Considering probe design recommendations from a commercial vendor (Affymetrix, now Thermo Fisher Scientific) a set of similar to 2 million SNPs were selected for a next-generation high-density SNP chip (MNEc2M). Genotype data were generated using the MNEc2M array from a cohort of 332 horses from 20 breeds and a lower-density array, consisting of similar to 670 thousand SNPs (MNEc670k), was designed for genotype imputation. Conclusions: Here, we document the steps taken to design both the MNEc2M and MNEc670k arrays, report genomic and technical properties of these genotyping platforms, and demonstrate the imputation capabilities of these tools for the domestic horse.",NA,NA,"JUL 27",2017,18,"",NA,"10.1186/s12864-017-3943-8",NA,"s12864-017-3943-8"
"1128",1128,"J","Camarinha-Silva, A; Maushammer, M; Wellmann, R; Vital, M; Preuss, S; Bennewitz, J",NA,NA,NA,"Camarinha-Silva, Amelia; Maushammer, Maria; Wellmann, Robin; Vital, Marius; Preuss, Siegfried; Bennewitz, Joern",NA,"","Host Genome Influence on Gut Microbial Composition and Microbial Prediction of Complex Traits in Pigs","The aim of the present study was to analyze the interplay between gastrointestinal tract (GIT) microbiota, host genetics, and complex traits in pigs using extended quantitative-genetic methods. The study design consisted of 207 pigs that were housed and slaughtered under standardized conditions, and phenotyped for daily gain, feed intake, and feed conversion rate. The pigs were genotyped with a standard 60 K SNP chip. The GIT microbiota composition was analyzed by 16S rRNA gene amplicon sequencing technology. Eight from 49 investigated bacteria genera showed a significant narrow sense host heritability, ranging from 0.32 to 0.57. Microbial mixed linear models were applied to estimate the microbiota variance for each complex trait. The fraction of phenotypic variance explained by the microbial variance was 0.28, 0.21, and 0.16 for daily gain, feed conversion, and feed intake, respectively. The SNP data and the microbiota composition were used to predict the complex traits using genomic best linear unbiased prediction (G-BLUP) and microbial best linear unbiased prediction (M-BLUP) methods, respectively. The prediction accuracies of G-BLUP were 0.35, 0.23, and 0.20 for daily gain, feed conversion, and feed intake, respectively. The corresponding prediction accuracies of M-BLUP were 0.41, 0.33, and 0.33. Thus, in addition to SNP data, microbiota abundances are an informative source of complex trait predictions. Since the pig is a well-suited animal for modeling the human digestive tract, M-BLUP, in addition to G-BLUP, might be beneficial for predicting human predispositions to some diseases, and, consequently, for preventative and personalized medicine.",NA,NA,"JUL",2017,206,"3",NA,"10.1534/genetics.117.200782",NA,"genetics.117.200782"
"1142",1142,"J","Tan, BY; Grattapaglia, D; Martins, GS; Ferreira, KZ; Sundberg, B; Ingvarsson, PK",NA,NA,NA,"Tan, Biyue; Grattapaglia, Dario; Martins, Gustavo Salgado; Ferreira, Karina Zamprogno; Sundberg, Bjorn; Ingvarsson, Par K.",NA,"","Evaluating the accuracy of genomic prediction of growth and wood traits in two Eucalyptus species and their F-1 hybrids","Background: Genomic prediction is a genomics assisted breeding methodology that can increase genetic gains by accelerating the breeding cycle and potentially improving the accuracy of breeding values. In this study, we use 41,304 informative SNPs genotyped in a Eucalyptus breeding population involving 90 E. grandis and 78 E. urophylla parents and their 949 F-1 hybrids to develop genomic prediction models for eight phenotypic traits-basic density and pulp yield, circumference at breast height and height and tree volume scored at age three and six years. We assessed the impact of different genomic prediction methods, the composition and size of the training and validation set and the number and genomic location of SNPs on the predictive ability (PA). Results: Heritabilities estimated using the realized genomic relationship matrix (GRM) were considerably higher than estimates based on the expected pedigree, mainly due to inconsistencies in the expected pedigree that were readily corrected by the GRM. Moreover, the GRM more precisely capture Mendelian sampling among related individuals, such that the genetic covariance was based on the true proportion of the genome shared between individuals. PA improved considerably when increasing the size of the training set and by enhancing relatedness to the validation set. Prediction models trained on pure species parents could not predict well in F-1 hybrids, indicating that model training has to be carried out in hybrid populations if one is to predict in hybrid selection candidates. The different genomic prediction methods provided similar results for all traits, therefore either GBLUP or rrBLUP represents better compromises between computational time and prediction efficiency. Only slight improvement was observed in PA when more than 5000 SNPs were used for all traits. Using SNPs in intergenic regions provided slightly better PA than using SNPs sampled exclusively in genic regions. Conclusions: The size and composition of the training set and number of SNPs used are the two most important factors for model prediction, compared to the statistical methods and the genomic location of SNPs. Furthermore, training the prediction model based on pure parental species only provide limited ability to predict traits in interspecific hybrids. Our results provide additional promising perspectives for the implementation of genomic prediction in Eucalyptus breeding programs by the selection of interspecific hybrids.",NA,NA,"JUN 29",2017,17,"",NA,"10.1186/s12870-017-1059-6",NA,"s12870-017-1059-6"
"1146",1146,"J","Zhu, B; Niu, H; Zhang, WG; Wang, ZZ; Liang, YH; Guan, L; Guo, P; Chen, Y; Zhang, LP; Guo, Y; Ni, HM; Gao, X; Gao, HJ; Xu, LY; Li, JY",NA,NA,NA,"Zhu, Bo; Niu, Hong; Zhang, Wengang; Wang, Zezhao; Liang, Yonghu; Guan, Long; Guo, Peng; Chen, Yan; Zhang, Lupei; Guo, Yong; Ni, Heming; Gao, Xue; Gao, Huijiang; Xu, Lingyang; Li, Junya",NA,"","Genome wide association study and genomic prediction for fatty acid composition in Chinese Simmental beef cattle using high density SNP array","Background: Fatty acid composition of muscle is an important trait contributing to meat quality. Recently, genome-wide association study (GWAS) has been extensively used to explore the molecular mechanism underlying important traits in cattle. In this study, we performed GWAS using high density SNP array to analyze the association between SNPs and fatty acids and evaluated the accuracy of genomic prediction for fatty acids in Chinese Simmental cattle. Results: Using the BayesB method, we identified 35 and 7 regions in Chinese Simmental cattle that displayed significant associations with individual fatty acids and fatty acid groups, respectively. We further obtained several candidate genes which may be involved in fatty acid biosynthesis including elongation of very long chain fatty acids protein 5 (ELOVL5), fatty acid synthase (FASN), caspase 2 (CASP2) and thyroglobulin (TG). Specifically, we obtained strong evidence of association signals for one SNP located at 51.3 Mb for FASN using Genome-wide Rapid Association Mixed Model and Regression-Genomic Control (GRAMMAR-GC) approaches. Also, region-based association test identified multiple SNPs within FASN and ELOVL5 for C14:0. In addition, our result revealed that the effectiveness of genomic prediction for fatty acid composition using BayesB was slightly superior over GBLUP in Chinese Simmental cattle. Conclusions: We identified several significantly associated regions and loci which can be considered as potential candidate markers for genomics-assisted breeding programs. Using multiple methods, our results revealed that FASN and ELOVL5 are associated with fatty acids with strong evidence. Our finding also suggested that it is feasible to perform genomic selection for fatty acids in Chinese Simmental cattle.",NA,NA,"JUN 14",2017,18,"",NA,"10.1186/s12864-017-3847-7",NA,"s12864-017-3847-7"
"1172",1172,"J","Verhulst, B; Maes, HH; Neale, MC",NA,NA,NA,"Verhulst, Brad; Maes, Hermine H.; Neale, Michael C.",NA,"","GW-SEM: A Statistical Package to Conduct Genome-Wide Structural Equation Modeling","Improving the accuracy of phenotyping through the use of advanced psychometric tools will increase the power to find significant associations with genetic variants and expand the range of possible hypotheses that can be tested on a genome-wide scale. Multivariate methods, such as structural equation modeling (SEM), are valuable in the phenotypic analysis of psychiatric and substance use phenotypes, but these methods have not been integrated into standard genome-wide association analyses because fitting a SEM at each single nucleotide polymorphism (SNP) along the genome was hitherto considered to be too computationally demanding. By developing a method that can efficiently fit SEMs, it is possible to expand the set of models that can be tested. This is particularly necessary in psychiatric and behavioral genetics, where the statistical methods are often handicapped by phenotypes with large components of stochastic variance. Due to the enormous amount of data that genome-wide scans produce, the statistical methods used to analyze the data are relatively elementary and do not directly correspond with the rich theoretical development, and lack the potential to test more complex hypotheses about the measurement of, and interaction between, comorbid traits. In this paper, we present a method to test the association of a SNP with multiple phenotypes or a latent construct on a genome-wide basis using a diagonally weighted least squares (DWLS) estimator for four common SEMs: a one-factor model, a one-factor residuals model, a two-factor model, and a latent growth model. We demonstrate that the DWLS parameters and p-values strongly correspond with the more traditional full information maximum likelihood parameters and p-values. We also present the timing of simulations and power analyses and a comparison with and existing multivariate GWAS software package.",NA,NA,"MAY",2017,47,"3",NA,"10.1007/s10519-017-9842-6",NA,"s10519-017-9842-6"
"1196",1196,"J","Ballenghien, M; Faivre, N; Galtier, N",NA,NA,NA,"Ballenghien, Marion; Faivre, Nicolas; Galtier, Nicolas",NA,"","Patterns of cross-contamination in a multispecies population genomic project: detection, quantification, impact, and solutions","Background: Contamination is a well-known but often neglected problem in molecular biology. Here, we investigated the prevalence of cross-contamination among 446 samples from 116 distinct species of animals, which were processed in the same laboratory and subjected to subcontracted transcriptome sequencing. Results: Using cytochrome oxidase 1 as a barcode, we identified a minimum of 782 events of between-species contamination, with approximately 80% of our samples being affected. An analysis of laboratory metadata revealed a strong effect of the sequencing center: nearly all the detected events of between-species contamination involved species that were sent the same day to the same company. We introduce new methods to address the amount of within-species, between-individual contamination, and to correct for this problem when calling genotypes from base read counts. Conclusions: We report evidence for pervasive within-species contamination in this data set, and show that classical population genomic statistics, such as synonymous diversity, the ratio of non-synonymous to synonymous diversity, inbreeding coefficient FIT, and Tajima's D, are sensitive to this problem to various extents. Control analyses suggest that our published results are probably robust to the problem of contamination. Recommendations on how to prevent or avoid contamination in large-scale population genomics/molecular ecology are provided based on this analysis.",NA,NA,"MAR 29",2017,15,"",NA,"10.1186/s12915-017-0366-6",NA,"s12915-017-0366-6"
